	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20
sp11	-0.0331960948671	0.0289050206229	-0.00393691145719	-0.0385832375105	-0.0095584221937	0.0106922225617	-0.00164932277298	0.0098280558694	0.00144930573709	-0.029364716482	0.958790839862	0.0259591017901	-0.0127906385788	-0.0106523576149	-0.00212486885982	-0.0040137271605	0.0073887964481	0.0385174100509	-0.0352431204142	-0.00124838794598
sp12	-0.0117429859636	-0.0428237082528	-0.00107162513224	-0.0075768128112	-0.0203895347057	0.0167826409041	0.0111873107263	0.019484797429	-0.00544727323596	0.00175611017435	0.0259591017901	1.13835649033	0.00432877312569	0.0065833691241	-0.0238392288688	0.0206187155376	0.00473167036832	0.00884676883334	0.00609503958728	-0.00453605196902
sp13	-0.0117441982012	0.0229262676709	-0.0215512122378	0.0207761212041	-0.0128869597598	0.067635685311	0.032783392644	-0.0156391535841	-0.000410059260921	-0.0271814074395	-0.0127906385788	0.00432877312569	1.07685717005	-0.00800480990372	0.0171897635888	-0.0444877302914	-0.00967402079938	-0.0200605572045	0.00837886793495	-0.00914720579373
sp14	-0.0158182880259	-0.00156129916356	0.00181496633907	0.00392380537983	-0.0343790556515	-0.00894901689344	0.00579006254901	0.00280230184567	0.0283863824057	0.0153522220143	-0.0106523576149	0.0065833691241	-0.00800480990372	1.03453023777	-0.0291120169936	-0.00042264740642	-0.0265177848326	0.0245384597541	-0.0105974854073	-0.00344254352236
sp15	0.0389957751044	-0.0276818112544	-0.0180609836253	-4.19927427243e-05	-0.0127228968589	0.0142852823634	0.0272961784176	0.0428982000922	-0.0179315911306	-0.00214246053641	-0.00212486885982	-0.0238392288688	0.0171897635888	-0.0291120169936	1.03912147891	-0.00343054466378	-0.0154587663117	0.0259111522377	-0.0329785938725	-0.010464339431
sp16	0.00899038984879	-0.0470197162915	-0.0115865077882	-0.0441805401621	-0.00677184177552	-0.0126534592775	0.00359202036488	0.0468264487909	0.0195425780029	0.0219517086305	-0.0040137271605	0.0206187155376	-0.0444877302914	-0.00042264740642	-0.00343054466378	1.10847096659	0.0175934205202	-0.0295600989067	0.0140657612291	0.00720342382183
sp17	-0.047757010172	0.0193877317849	-0.0180606071076	-0.0284628487904	0.0106779745917	-0.0107801084292	-0.0210004182107	-0.0297151240216	-0.00441705236331	0.000415725785568	0.0073887964481	0.00473167036832	-0.00967402079938	-0.0265177848326	-0.0154587663117	0.0175934205202	0.969276404379	0.00501804173405	-0.0385510628835	0.0226389553715
sp18	-0.00740047157742	-0.0189200484692	0.0262514208451	-0.00797216697575	-0.0246769877989	0.0171191071579	-0.0125622936879	-0.0437637889357	0.0241700935652	-0.0255156505882	0.0385174100509	0.00884676883334	-0.0200605572045	0.0245384597541	0.0259111522377	-0.0295600989067	0.00501804173405	1.12115963519	-0.0202712268213	-0.000879157032978
sp19	0.0322181235867	-0.00303793386492	0.00215330593165	0.0125735994867	-0.00114011633976	0.0134868072196	-0.0191172841058	0.00612219534107	0.0294497897689	0.0338980976905	-0.0352431204142	0.00609503958728	0.00837886793495	-0.0105974854073	-0.0329785938725	0.0140657612291	-0.0385510628835	-0.0202712268213	1.1914517261	-0.0117075605058
sp20	-0.0293087227915	0.0544383845107	0.0260137704387	0.00131869495129	0.0333180422407	0.00567872120482	-0.0107644315482	-0.0186765645105	-0.0301779425787	-0.0116810368022	-0.00124838794598	-0.00453605196902	-0.00914720579373	-0.00344254352236	-0.010464339431	0.00720342382183	0.0226389553715	-0.000879157032978	-0.0117075605058	1.15924980193
